台灣頻道,#genre#
CN卡通,http://192.168.0.114:6789/ublive.php?id=107
靖洋卡通,http://192.168.0.114:6789/ublive.php?id=348
靖天卡通,http://192.168.0.114:6789/ublive.php?id=344
大愛一臺,http://192.168.0.114:6789/ublive.php?id=11
港澳頻道,#genre#
TVB翡翠,http://192.168.0.114:6789/ublive.php?id=390
TVB翡翠,http://192.168.0.114:6789/ublive.php?id=30
TVB明珠,http://192.168.0.114:6789/ublive.php?id=2437
TVB明珠,http://192.168.0.114:6789/ublive.php?id=391
TVB plus,http://192.168.0.114:6789/ublive.php?id=45
TVB plus,http://192.168.0.114:6789/ublive.php?id=394
HOY资讯台,http://192.168.0.114:6789/ublive.php?id=395
Viu TV,http://192.168.0.114:6789/ublive.php?id=2334
Viutv,http://192.168.0.114:6789/ublive.php?id=72
TVB_POPC,http://192.168.0.114:6789/ublive.php?id=2818
TVB直播,http://192.168.0.114:6789/ublive.php?id=2743
TVB J2,http://192.168.0.114:6789/ublive.php?id=392
TVB J2,http://192.168.0.114:6789/ublive.php?id=2834
NOWTV,http://192.168.0.114:6789/ublive.php?id=1246
鳳凰香港,http://192.168.0.114:6789/ublive.php?id=2810
鳳凰衛視,http://192.168.0.114:6789/ublive.php?id=2291
鳳凰衛視,http://192.168.0.114:6789/ublive.php?id=2812
鳳凰资讯,http://192.168.0.114:6789/ublive.php?id=2811
鳳凰资讯,http://192.168.0.114:6789/ublive.php?id=2292
星空衛視,http://192.168.0.114:6789/ublive.php?id=56
HKIBC,http://192.168.0.114:6789/ublive.php?id=354
HOY,http://192.168.0.114:6789/ublive.php?id=401
18台,http://192.168.0.114:6789/ublive.php?id=2813
廣東珠江,http://192.168.0.114:6789/ublive.php?id=1034
18台,http://192.168.0.114:6789/ublive.php?id=44
澳門蓮花,http://192.168.0.114:6789/ublive.php?id=70
鳳凰電影,http://192.168.0.114:6789/ublive.php?id=2814
Viutv 6,http://192.168.0.114:6789/ublive.php?id=176
創世電視,http://192.168.0.114:6789/ublive.php?id=1317
澳亞衛視,http://192.168.0.114:6789/ublive.php?id=85
Euronews English,http://192.168.0.114:6789/ublive.php?id=2342
TVB亞洲劇,http://192.168.0.114:6789/ublive.php?id=1048
TVB粵語片,http://192.168.0.114:6789/ublive.php?id=1589
TVB功夫台,http://192.168.0.114:6789/ublive.php?id=168
TVB1,http://192.168.0.114:6789/ublive.php?id=1242
TVB DRAMA,http://192.168.0.114:6789/ublive.php?id=1243
TVBJ1,http://192.168.0.114:6789/ublive.php?id=1244
TVBE,http://192.168.0.114:6789/ublive.php?id=1245
新時代東部,http://192.168.0.114:6789/ublive.php?id=1286
（時移）新時代東,http://192.168.0.114:6789/ublive.php?id=1287
新時代2,http://192.168.0.114:6789/ublive.php?id=1288
城市電視,http://192.168.0.114:6789/ublive.php?id=1289
TVB星河,http://192.168.0.114:6789/ublive.php?id=1079
TVB經典,http://192.168.0.114:6789/ublive.php?id=1083
新聞頻道,#genre#
HOY资讯台,http://192.168.0.114:6789/ublive.php?id=395
HKIBC,http://192.168.0.114:6789/ublive.php?id=354
三立新聞,http://192.168.0.114:6789/ublive.php?id=43
三立新聞,http://192.168.0.114:6789/ublive.php?id=2794
三立新聞,http://192.168.0.114:6789/ublive.php?id=2392
三立新聞+,http://192.168.0.114:6789/ublive.php?id=320
東森新聞,http://192.168.0.114:6789/ublive.php?id=1025
東森新聞4,http://192.168.0.114:6789/ublive.php?id=2766
東森新聞,http://192.168.0.114:6789/ublive.php?id=1358
東森新聞,http://192.168.0.114:6789/ublive.php?id=2393
東森亞洲,http://192.168.0.114:6789/ublive.php?id=3
中天新聞,http://192.168.0.114:6789/ublive.php?id=2394
中天新聞2台,http://192.168.0.114:6789/ublive.php?id=152
中天新聞,http://192.168.0.114:6789/ublive.php?id=2420
民視新聞,http://192.168.0.114:6789/ublive.php?id=2395
民視新聞,http://192.168.0.114:6789/ublive.php?id=13
TVBS新聞,http://192.168.0.114:6789/ublive.php?id=2736
TVBS新聞,http://192.168.0.114:6789/ublive.php?id=2
TVBS新聞,http://192.168.0.114:6789/ublive.php?id=2396
東森財經,http://192.168.0.114:6789/ublive.php?id=2397
東森財經,http://192.168.0.114:6789/ublive.php?id=12
華視新聞,http://192.168.0.114:6789/ublive.php?id=2424
華視新聞,http://192.168.0.114:6789/ublive.php?id=1171
三立iNEWS,http://192.168.0.114:6789/ublive.php?id=2398
三立iNEWS,http://192.168.0.114:6789/ublive.php?id=6
台視新聞,http://192.168.0.114:6789/ublive.php?id=2399
